xc,yc,zc,theta,phi,a,b,c
0.0,0.0,4.0,0.0,0.0,0.189352927039256,0.0441854147213583,0.1043722604030299
0.0,0.0,4.0,0.0,0.1745329251994329,0.1600778266782397,0.005586302023404,0.1183602462786768
0.0,0.0,4.0,0.0,0.5235987755982988,0.5546760913157198,0.4343445496027989,0.3866091331512472
0.0,0.0,4.0,0.0,0.6981317007977318,0.3020708690144313,0.2861089236103749,0.1397855832762327
0.0,0.0,4.0,0.0,0.8726646259971648,0.8571065190477554,0.6158152603243869,0.1313046557989888
0.0,0.0,4.0,0.0,1.0471975511965976,0.6163843835349613,0.3853103727083538,0.1179692365926635
0.0,0.0,4.0,0.1745329251994329,0.0,0.423826090961594,0.1862411792208838,0.292940295904338
0.0,0.0,4.0,0.1745329251994329,0.1745329251994329,0.4577517878374808,0.0607107182391266,0.348004245726161
0.0,0.0,4.0,0.1745329251994329,0.3490658503988659,0.4606391865808328,0.3811654551435403,0.3560026840077648
0.0,0.0,4.0,0.1745329251994329,0.8726646259971648,0.6434112566817368,0.5436752172660962,0.6085887251684946
0.0,0.0,4.0,0.1745329251994329,1.2217304763960306,0.4068850560544481,0.0287254070115121,0.0971001171617491
0.0,0.0,4.0,0.3490658503988659,0.0,0.7432973119994306,0.5631032608103043,0.3052228045247108
0.0,0.0,4.0,0.3490658503988659,0.1745329251994329,0.6568211655524131,0.358137663086533,0.5803671267550666
0.0,0.0,4.0,0.3490658503988659,0.3490658503988659,0.6947339059028406,0.5416346786032323,0.3561454451696987
0.0,0.0,4.0,0.3490658503988659,0.5235987755982988,0.8530345583031076,0.79229754096629,0.1770090761723921
0.0,0.0,4.0,0.3490658503988659,0.6981317007977318,0.6584456672863522,0.2477067058905484,0.4667604811489873
0.0,0.0,4.0,0.3490658503988659,1.0471975511965976,0.5997897587598522,0.1534548157322109,0.1985291719386961
0.0,0.0,4.0,0.3490658503988659,1.2217304763960306,0.1958507018549803,0.0287836656417595,0.017392031384225
0.0,0.0,4.0,0.5235987755982988,0.0,0.3214309112622453,0.0258896489653371,0.0091572678882081
0.0,0.0,4.0,0.5235987755982988,0.1745329251994329,0.2441825247865655,0.1947936829442658,0.2409759104322137
0.0,0.0,4.0,0.5235987755982988,0.3490658503988659,0.8134824205187903,0.1020830623566059,0.4674178268361429
0.0,0.0,4.0,0.5235987755982988,0.5235987755982988,0.0528226522683191,0.022464224794324,0.0202864359561214
0.0,0.0,4.0,0.5235987755982988,0.6981317007977318,0.5897991768077039,0.2940957284913817,0.1297685168286276
0.0,0.0,4.0,0.5235987755982988,0.8726646259971648,1.007540811611698,0.6384418723131725,0.5809216011404628
0.0,0.0,4.0,0.5235987755982988,1.0471975511965976,0.7195376807974351,0.6589581460104491,0.5515404584197795
0.0,0.0,4.0,0.5235987755982988,1.3962634015954636,0.9784768480648316,0.1823003858465731,0.3458800166102136
